n_fire_pixels,mean_temp_fire,max_temp_fire,mean_power_fire,sum_power_fire,mean_area_fire,sum_area_fire,time_coverage_start,time_coverage_end,mean_confidence,max_confidence
501.0,591.27527,865.17255,208.41217,4793.48,48059.656,720962.1,2025-01-01T00:00:20.572046976,2025-01-01T00:09:51.387266944,0.89,1.0
577.0,586.0716,869.27277,230.50606,3688.0967,42523.484,595307.1,2025-01-01T00:10:20.571961984,2025-01-01T00:19:51.377534080,0.87,1.0
708.0,621.95294,1067.4761,265.50192,4513.5327,60883.477,853130.6,2025-01-01T00:20:20.571876992,2025-01-01T00:29:51.371059968,0.87,1.0
657.0,601.4679,773.0441,220.89957,4197.092,49570.895,745415.2,2025-01-01T00:30:20.573617024,2025-01-01T00:39:51.376242048,0.87,1.0
646.0,644.0407,1112.006,254.59962,4073.5942,42119.117,421307.94,2025-01-01T00:40:20.573539072,2025-01-01T00:49:51.382274048,0.88,1.0
501.0,548.43414,740.0448,96.74409,1354.4174,52794.164,581660.6,2025-01-01T00:50:20.573444992,2025-01-01T00:59:51.374184064,0.91,1.0
562.0,581.60944,807.2218,204.66827,3479.3608,61170.766,795224.3,2025-01-01T01:00:20.575174016,2025-01-01T01:09:51.384121984,0.88,1.0
543.0,622.8486,785.1628,282.22678,4797.8555,48425.2,679276.56,2025-01-01T01:10:20.575116928,2025-01-01T01:19:51.382043008,0.94,1.0
839.0,793.2779,2299.2134,332.80402,4326.4517,43863.207,442407.0,2025-01-01T01:20:20.575026944,2025-01-01T01:29:51.378409088,0.84,1.0
833.0,737.8635,1589.7432,289.8448,4347.6714,41970.9,423320.3,2025-01-01T01:30:20.576738048,2025-01-01T01:39:51.374925056,0.92,1.0
1044.0,666.83844,876.9371,284.46777,4551.4844,45935.58,599600.44,2025-01-01T01:40:20.576663040,2025-01-01T01:49:51.379104000,0.91,1.0
1098.0,662.4775,1155.8389,271.92957,4622.803,38472.324,619710.75,2025-01-01T01:50:20.578409984,2025-01-01T01:59:51.382163968,0.92,1.0
1309.0,613.7599,752.4472,297.41687,3866.419,54060.32,594710.44,2025-01-01T02:00:20.578372992,2025-01-01T02:09:51.376515072,0.89,1.0
1557.0,652.691,822.45715,331.49582,3977.9497,44515.992,489763.78,2025-01-01T02:10:20.578340096,2025-01-01T02:19:51.381875072,0.93,1.0
2048.0,618.3403,984.438,289.8794,4058.3113,64730.562,907097.9,2025-01-01T02:20:20.580067072,2025-01-01T02:29:51.386268032,0.92,1.0
1948.0,616.57196,1119.1686,260.37396,3645.2358,62379.684,876546.8,2025-01-01T02:30:20.579987072,2025-01-01T02:39:51.378777088,0.95,1.0
